Question_number;Question;NumCorrect;Answer1;Answer2;Answer3;Answer4;Answer5;Answer6;Correct;Explanation
17;Your company is migrating their 30-node Apache Hadoop cluster to the cloud. They want to re-use Hadoop jobs they have already created and minimize the management of the cluster as much as possible. They also want to be able to persist data beyond the life of the cluster. What should you do?;1;Create a Google Cloud Dataflow job to process the data.;Create a Google Cloud Dataproc cluster that uses persistent disks for HDFS.;Create a Hadoop cluster on Google Compute Engine that uses persistent disks.;Create a Cloud Dataproc cluster that uses the Google Cloud Storage connector.;Create a Hadoop cluster on Google Compute Engine that uses Local SSD disks.;;Create a Cloud Dataproc cluster that uses the Google Cloud Storage connector.;Google Cloud Dataproc can reuse existing Hadoop jobs, provides managed clusters, and using Google Cloud Storage for data storage allows data to persist beyond the life of the cluster.
18;Business owners at your company have given you a database of bank transactions. Each row contains the user ID, transaction type, transaction location, and transaction amount. They ask you to investigate what type of machine learning can be applied to the data. Which three machine learning applications can you use? (Choose three.);3;Supervised learning to determine which transactions are most likely to be fraudulent.;Unsupervised learning to determine which transactions are most likely to be fraudulent.;Clustering to divide the transactions into N categories based on feature similarity.;Supervised learning to predict the location of a transaction.;Reinforcement learning to predict the location of a transaction.;Unsupervised learning to predict the location of a transaction.;Unsupervised learning to determine which transactions are most likely to be fraudulent.|Clustering to divide the transactions into N categories based on feature similarity.|Supervised learning to predict the location of a transaction.;In the absence of labeled data for fraudulent transactions, unsupervised learning can be used to determine anomalies which could be potential frauds. Clustering can be used to divide the transactions into N categories based on feature similarity. And supervised learning can be used to predict the location of a transaction if we have historic data with known locations.
19;Your company's on-premises Apache Hadoop servers are approaching end-of-life, and IT has decided to migrate the cluster to Google Cloud Dataproc. A like-for- like migration of the cluster would require 50 TB of Google Persistent Disk per node. The CIO is concerned about the cost of using that much block storage. You want to minimize the storage cost of the migration. What should you do?;1;Put the data into Google Cloud Storage.;Use preemptible virtual machines (VMs) for the Cloud Dataproc cluster.;Tune the Cloud Dataproc cluster so that there is just enough disk for all data.;Migrate some of the cold data into Google Cloud Storage, and keep only the hot data in Persistent Disk.;;;Put the data into Google Cloud Storage.;Google Cloud Storage (GCS) offers a highly scalable and durable storage option which is cost-effective compared to Persistent Disk. With the Google Cloud Storage connector, Dataproc can directly operate on data stored in GCS, enabling you to separate storage and compute, increasing flexibility and potentially reducing costs.
20;You work for a car manufacturer and have set up a data pipeline using Google Cloud Pub/Sub to capture anomalous sensor events. You are using a push subscription in Cloud Pub/Sub that calls a custom HTTPS endpoint that you have created to take action of these anomalous events as they occur. Your custom HTTPS endpoint keeps getting an inordinate amount of duplicate messages. What is the most likely cause of these duplicate messages?;1;The message body for the sensor event is too large.;Your custom endpoint has an out-of-date SSL certificate.;The Cloud Pub/Sub topic has too many messages published to it.;Your custom endpoint is not acknowledging messages within the acknowledgement deadline.;;;Your custom endpoint is not acknowledging messages within the acknowledgement deadline.;Cloud Pub/Sub guarantees at-least-once message delivery, which means that occasional duplicates are possible in the event of push failures or if messages aren't acknowledged in a timely manner. If your endpoint does not acknowledge the message within the deadline, the message is sent again because Pub/Sub considers that the message delivery has failed.
21;Your company uses a proprietary system to send inventory data every 6 hours to a data ingestion service in the cloud. Transmitted data includes a payload of several fields and the timestamp of the transmission. If there are any concerns about a transmission, the system re-transmits the data. How should you deduplicate the data most efficiency?;1;Assign global unique identifiers (GUID) to each data entry.;Compute the hash value of each data entry, and compare it with all historical data.;Store each data entry as the primary key in a separate database and apply an index.;Maintain a database table to store the hash value and other metadata for each data entry.;;;Assign global unique identifiers (GUID) to each data entry.;"Assigning a globally unique identifier (GUID) to each data entry is an effective way to deduplicate data in this scenario. GUIDs are unique across all space and time, so even if the same data is transmitted multiple times (due to concerns about transmission), the GUID will stay constant. Then, when processing the data, you can simply ignore entries that have a GUID that you have already processed, thus effectively deduplicating your data.<br>Answer ""D"" is not as efficient or error-proof due to two reasons<br>1. You need to calculate hash at sender as well as at receiver end to do the comparison. Waste of computing power.<br>2. Even if we discount the computing power, we should note that the system is sending inventory information. Two messages sent at different can denote same inventory level (and thus have same hash). Adding sender time stamp to hash will defeat the purpose of using hash as now retried messages will have different timestamp and a different hash.<br>if timestamp is used as message creation timestamp than that can also be used as a UUID."
22;Your company has hired a new data scientist who wants to perform complicated analyses across very large datasets stored in Google Cloud Storage and in a Cassandra cluster on Google Compute Engine. The scientist primarily wants to create labelled data sets for machine learning projects, along with some visualization tasks. She reports that her laptop is not powerful enough to perform her tasks and it is slowing her down. You want to help her perform her tasks. What should you do?;1;Run a local version of Jupiter on the laptop.;Grant the user access to Google Cloud Shell.;Host a visualization tool on a VM on Google Compute Engine.;Deploy Google Cloud Datalab to a virtual machine (VM) on Google Compute Engine.;;;Deploy Google Cloud Datalab to a virtual machine (VM) on Google Compute Engine.;Google Cloud Datalab is an interactive tool for exploration, transformation, analysis and visualization of data on Google Cloud. It runs on Google Compute Engine and connects to multiple cloud services easily so you can focus on your data science tasks. This will allow the data scientist to work with large datasets without being limited by the resources on her laptop
23;You are deploying 10,000 new Internet of Things devices to collect temperature data in your warehouses globally. You need to process, store and analyze these very large datasets in real time. What should you do?;1;Send the data to Google Cloud Datastore and then export to BigQuery.;Send the data to Google Cloud Pub/Sub, stream Cloud Pub/Sub to Google Cloud Dataflow, and store the data in Google BigQuery.;Send the data to Cloud Storage and then spin up an Apache Hadoop cluster as needed in Google Cloud Dataproc whenever analysis is required.;Export logs in batch to Google Cloud Storage and then spin up a Google Cloud SQL instance, import the data from Cloud Storage, and run an analysis as needed.;;;Send the data to Google Cloud Pub/Sub, stream Cloud Pub/Sub to Google Cloud Dataflow, and store the data in Google BigQuery.;Google Cloud Pub/Sub allows you to collect the data from IoT devices, Google Cloud Dataflow allows real-time processing and transformation of data, and Google BigQuery is a fully-managed and highly scalable data warehouse for analytics, perfect for storing processed data for analysis
24;You have spent a few days loading data from comma-separated values (CSV) files into the Google BigQuery table CLICK_STREAM. The column DT stores the epoch time of click events. For convenience, you chose a simple schema where every field is treated as the STRING type. Now, you want to compute web session durations of users who visit your site, and you want to change its data type to the TIMESTAMP. You want to minimize the migration effort without making future queries computationally expensive. What should you do?;1;Delete the table CLICK_STREAM, and then re-create it such that the column DT is of the TIMESTAMP type. Reload the data.;Add a column TS of the TIMESTAMP type to the table CLICK_STREAM, and populate the numeric values from the column TS for each row. Reference the column TS instead of the column DT from now on.;Create a view CLICK_STREAM_V, where strings from the column DT are cast into TIMESTAMP values. Reference the view CLICK_STREAM_V instead of the table CLICK_STREAM from now on.;Construct a query to return every row of the table CLICK_STREAM, while using the built-in function to cast strings from the column DT into TIMESTAMP values. Run the query into a destination table NEW_CLICK_STREAM, in which the column TS is the TIMESTAMP type. Reference the table NEW_CLICK_STREAM instead of the table CLICK_STREAM from now on. In the future, new data is loaded into the table NEW_CLICK_STREAM.;;;Construct a query to return every row of the table CLICK_STREAM, while using the built-in function to cast strings from the column DT into TIMESTAMP values. Run the query into a destination table NEW_CLICK_STREAM, in which the column TS is the TIMESTAMP type. Reference the table NEW_CLICK_STREAM instead of the table CLICK_STREAM from now on. In the future, new data is loaded into the table NEW_CLICK_STREAM.;Construct a query to return every row of the table CLICK_STREAM, while using the built-in function to cast strings from the column DT into TIMESTAMP values. Run the query into a destination table NEW_CLICK_STREAM, in which the column TS is the TIMESTAMP type. This approach allows for changing the data type of the existing column by creating a new table and transferring data from the old table to the new one, with casting to the necessary data type. It doesn't require reloading of the original data and doesn't impact the efficiency of future queries.
25;You want to use Google Stackdriver Logging to monitor Google BigQuery usage. You need an instant notification to be sent to your monitoring tool when new data is appended to a certain table using an insert job, but you do not want to receive notifications for other tables. What should you do?;1;Make a call to the Stackdriver API to list all logs, and apply an advanced filter.;In the Stackdriver logging admin interface, and enable a log sink export to BigQuery.;In the Stackdriver logging admin interface, enable a log sink export to Google Cloud Pub/Sub, and subscribe to the topic from your monitoring tool.;Add two columns to the table CLICK STREAM: TS of the TIMESTAMP type and IS_NEW of the BOOLEAN type. Reload all data in append mode. For each appended row, set the value of IS_NEW to true. For future queries, reference the column TS instead of the column DT, with the WHERE clause ensuring that the value of IS_NEW must be true.;Using the Stackdriver API, create a project sink with advanced log filter to export to Pub/Sub, and subscribe to the topic from your monitoring tool.;;Using the Stackdriver API, create a project sink with advanced log filter to export to Pub/Sub, and subscribe to the topic from your monitoring tool.;Using the Stackdriver API, create a project sink with an advanced log filter to export to Pub/Sub, and subscribe to the topic from your monitoring tool. This approach allows you to specifically target the events of interest (in this case, new data being appended to a specific table). You can then export these events to Pub/Sub, where your monitoring tool can subscribe to the relevant topic and receive instant notifications.
26;You are working on a sensitive project involving private user data. You have set up a project on Google Cloud Platform to house your work internally. An external consultant is going to assist with coding a complex transformation in a Google Cloud Dataflow pipeline for your project. How should you maintain users' privacy?;1;Grant the consultant the Viewer role on the project.;Grant the consultant the Cloud Dataflow Developer role on the project.;Create a service account and allow the consultant to log on with it.;Create an anonymized sample of the data for the consultant to work with in a different project.;;;Create an anonymized sample of the data for the consultant to work with in a different project.;The safest way to maintain user privacy is to create an anonymized sample of the data for the consultant to work with. This approach allows the consultant to assist with coding the complex transformation without accessing any sensitive user data.
27;You are building a model to predict whether or not it will rain on a given day. You have thousands of input features and want to see if you can improve training speed by removing some features while having a minimum effect on model accuracy. What can you do?;1;Eliminate features that are highly correlated to the output labels.;Combine highly co-dependent features into one representative feature.;Instead of feeding in each feature individually, average their values in batches of 3.;Remove the features that have null values for more than 50% of the training records.;;;Combine highly co-dependent features into one representative feature.;Combining co-dependent features can reduce the dimensionality of the data, which can increase training speed with minimal effect on model accuracy. This is because co-dependent features tend to carry similar information, and reducing them into a single feature retains most of this information.
28;Your company is performing data preprocessing for a learning algorithm in Google Cloud Dataflow. Numerous data logs are being generated during this step, and the team wants to analyze them. Due to the dynamic nature of the campaign, the data is growing exponentially every hour. The data scientists have written the following code to read the data for a new key features in the logs.<br> BigQueryIO.Read - .named('ReadLogData') .from('clouddataflow-readonly:<br>samples.log_data')<br> You want to improve the performance of this data read. What should you do?;1;Specify the TableReference object in the code.;Use .fromQuery operation to read specific fields from the table.;Use of both the Google BigQuery TableSchema and TableFieldSchema classes.;Call a transform that returns TableRow objects, where each element in the PCollection represents a single row in the table.;;;Use .fromQuery operation to read specific fields from the table.;Instead of reading all fields from the table, using .fromQuery operation can help to improve performance by only reading the specific fields that are needed. This reduces the amount of data that needs to be processed.
29;Your company is streaming real-time sensor data from their factory floor into Bigtable and they have noticed extremely poor performance. How should the row key be redesigned to improve Bigtable performance on queries that populate real-time dashboards?;1;Use a row key of the form <timestamp>.;Use a row key of the form <sensorid>.;Use a row key of the form <timestamp>#<sensorid>.;Use a row key of the form <sensorid>#<timestamp>.;;;Use a row key of the form <sensorid>#<timestamp>.;Bigtable stores rows in lexicographic order by key, and it distributes rows across nodes by key ranges. Having sensorid first will distribute writes across nodes, and having timestamp next will allow efficient time range scans for a particular sensor, improving the performance for queries populating real-time dashboards.
30;Your company's customer and order databases are often under heavy load. This makes performing analytics against them difficult without harming operations. The databases are in a MySQL cluster, with nightly backups taken using mysqldump. You want to perform analytics with minimal impact on operations. What should you do?;1;Add a node to the MySQL cluster and build an OLAP cube there.;Use an ETL tool to load the data from MySQL into Google BigQuery.;Connect an on-premises Apache Hadoop cluster to MySQL and perform ETL.;Mount the backups to Google Cloud SQL, and then process the data using Google Cloud Dataproc.;;;Use an ETL tool to load the data from MySQL into Google BigQuery.;Google BigQuery is designed for performing analytics on large data sets, and it separates compute and storage, allowing each to scale independently. This would allow you to perform the necessary analytics without impacting the operations of your MySQL database.
31;You have Google Cloud Dataflow streaming pipeline running with a Google Cloud Pub/Sub subscription as the source. You need to make an update to the code that will make the new Cloud Dataflow pipeline incompatible with the current version. You do not want to lose any data when making this update. What should you do?;1;Update the current pipeline and use the drain flag.;Update the current pipeline and provide the transform mapping JSON object.;Create a new pipeline that has the same Cloud Pub/Sub subscription and cancel the old pipeline.;Create a new pipeline that has a new Cloud Pub/Sub subscription and cancel the old pipeline.;;;Update the current pipeline and use the drain flag.;The 'drain' option allows the current Dataflow job to finish processing its current data but does not accept any new data. The job finishes and updates its state in the job list to 'drained'. Any new pipeline updates can be done without loss of data
32;Your company is running their first dynamic campaign, serving different offers by analyzing real-time data during the holiday season. The data scientists are collecting terabytes of data that rapidly grows every hour during their 30-day campaign. They are using Google Cloud Dataflow to preprocess the data and collect the feature (signals) data that is needed for the machine learning model in Google Cloud Bigtable. The team is observing suboptimal performance with reads and writes of their initial load of 10 TB of data. They want to improve this performance while minimizing cost. What should they do?;1;Redefine the schema by evenly distributing reads and writes across the row space of the table.;The performance issue should be resolved over time as the site of the BigDate cluster is increased.;Redesign the schema to use a single row key to identify values that need to be updated frequently in the cluster.;Redesign the schema to use row keys based on numeric IDs that increase sequentially per user viewing the offers.;;;Redefine the schema by evenly distributing reads and writes across the row space of the table.;In Google Cloud Bigtable, having a well-designed schema that evenly distributes reads and writes across the row space of the table can significantly improve performance, as it allows the system to effectively spread the workload across multiple nodes.
33;Your software uses a simple JSON format for all messages. These messages are published to Google Cloud Pub/Sub, then processed with Google Cloud Dataflow to create a real-time dashboard for the CFO. During testing, you notice that some messages are missing in the dashboard. You check the logs, and all messages are being published to Cloud Pub/Sub successfully. What should you do next?;1;Check the dashboard application to see if it is not displaying correctly.;Run a fixed dataset through the Cloud Dataflow pipeline and analyze the output.;Use Google Stackdriver Monitoring on Cloud Pub/Sub to find the missing messages.;Switch Cloud Dataflow to pull messages from Cloud Pub/Sub instead of Cloud Pub/Sub pushing messages to Cloud Dataflow.;;;Run a fixed dataset through the Cloud Dataflow pipeline and analyze the output.;Given that messages are published successfully to Cloud Pub/Sub, it's possible that the issue lies in the processing stage (Cloud Dataflow). Running a fixed dataset through the pipeline can help identify if there are any issues in the processing or downstream stages that cause the missing messages
34;"Flowlogistic Case Study -<br><br>Company Overview -<br>Flowlogistic is a leading logistics and supply chain provider. They help businesses throughout the world manage their resources and transport them to their final destination. The company has grown rapidly, expanding their offerings to include rail, truck, aircraft, and oceanic shipping.<br><br>Company Background -<br>The company started as a regional trucking company, and then expanded into other logistics market. Because they have not updated their infrastructure, managing and tracking orders and shipments has become a bottleneck. To improve operations, Flowlogistic developed proprietary technology for tracking shipments in real time at the parcel level. However, they are unable to deploy it because their technology stack, based on Apache Kafka, cannot support the processing volume. In addition, Flowlogistic wants to further analyze their orders and shipments to determine how best to deploy their resources.<br><br>Solution Concept -<br>Flowlogistic wants to implement two concepts using the cloud:<br><br> -Use their proprietary technology in a real-time inventory-tracking system that indicates the location of their loads<br><br> -Perform analytics on all their orders and shipment logs, which contain both structured and unstructured data, to determine how best to deploy resources, which markets to expand info. They also want to use predictive analytics to learn earlier when a shipment will be delayed.<br><br>Existing Technical Environment -<br>Flowlogistic architecture resides in a single data center:<br><br> -Databases<br>8 physical servers in 2 clusters<br>- SQL Server `"" user data, inventory, static data<br>3 physical servers<br>- Cassandra `"" metadata, tracking messages<br>10 Kafka servers `"" tracking message aggregation and batch insert<br><br> -Application servers `"" customer front end, middleware for order/customs<br>60 virtual machines across 20 physical servers<br>- Tomcat `"" Java services<br>- Nginx `"" static content<br>- Batch servers<br><br> -Storage appliances<br>- iSCSI for virtual machine (VM) hosts<br>- Fibre Channel storage area network (FC SAN) `"" SQL server storage<br>- Network-attached storage (NAS) image storage, logs, backups<br><br> -10 Apache Hadoop /Spark servers<br>- Core Data Lake<br>- Data analysis workloads<br><br> -20 miscellaneous servers<br>- Jenkins, monitoring, bastion hosts,<br><br>Business Requirements -<br>Build a reliable and reproducible environment with scaled panty of production.<br><br><br> -Aggregate data in a centralized Data Lake for analysis<br><br> -Use historical data to perform predictive analytics on future shipments<br><br> -Accurately track every shipment worldwide using proprietary technology<br><br> -Improve business agility and speed of innovation through rapid provisioning of new resources<br><br> -Analyze and optimize architecture for performance in the cloud<br><br> -Migrate fully to the cloud if all other requirements are met<br><br>Technical Requirements -<br><br> -Handle both streaming and batch data<br><br> -Migrate existing Hadoop workloads<br><br> -Ensure architecture is scalable and elastic to meet the changing demands of the company.<br><br> -Use managed services whenever possible<br><br> -Encrypt data flight and at rest<br><br> -Connect a VPN between the production data center and cloud environment<br><br>SEO Statement -<br>We have grown so quickly that our inability to upgrade our infrastructure is really hampering further growth and efficiency. We are efficient at moving shipments around the world, but we are inefficient at moving data around.<br>We need to organize our information so we can more easily understand where our customers are and what they are shipping.<br><br>CTO Statement -<br>IT has never been a priority for us, so as our data has grown, we have not invested enough in our technology. I have a good staff to manage IT, but they are so busy managing our infrastructure that I cannot get them to do the things that really matter, such as organizing our data, building the analytics, and figuring out how to implement the CFO' s tracking technology.<br><br>CFO Statement -<br>Part of our competitive advantage is that we penalize ourselves for late shipments and deliveries. Knowing where out shipments are at all times has a direct correlation to our bottom line and profitability. Additionally, I don't want to commit capital to building out a server environment.<br>Flowlogistic wants to use Google BigQuery as their primary analysis system, but they still have Apache Hadoop and Spark workloads that they cannot move to<br>BigQuery. Flowlogistic does not know how to store the data that is common to both workloads. What should they do? <br>";1;A. Store the common data in BigQuery as partitioned tables.;B. Store the common data in BigQuery and expose authorized views.;C. Store the common data encoded as Avro in Google Cloud Storage.;D. Store he common data in the HDFS storage for a Google Cloud Dataproc cluster.;;;C. Store the common data encoded as Avro in Google Cloud Storage.;
